,a,b,c,d,e,f,g,h,i,j,k,l,m
31,888.5268602305202,-41.05829058949794,-25.204212529492885,4.3201386274832885,939.0014718279176,280.0850493709323,4.915797168803069,-127.18862986622923,546.9038247521288,-2.991760646599016,576.8370190140671,12.606057555212878,43.40288829370294
32,-345.6368863417293,-4.6772219442935965,0.0878905456996723,-28.231884836498455,1061.9676865570382,489.1527433809518,255.34996771166996,3.5179460610543196,757.2128696645942,1431.2631405517516,-271.28036007646574,463.5820839664685,135.73795786862877
33,-582.2305890041364,-284.6168691984032,-10.60099771289686,-79.95275639015489,1298.8650269530212,-28.123004288080182,35.382851694462715,120.39997418138472,-532.1750602278961,24.971431090931663,39.32854297397368,17.625536990619576,300.51479708539193
34,-190.7693080022596,-459.94571914968077,-15.719132893015969,-90.82707245515175,836.9708224667977,-118.5096821336396,15.71162115924545,704.6945094575068,-348.2145651749357,-513.0600405967875,832.7200420429236,1758.739933115061,-81.31457371973882
35,106.94742511944503,-285.7055954886997,27.854967339795042,39.080482544639686,1382.194550913817,48.088211084447224,-48.43108628501353,397.6583882566691,1539.6391027597379,89.18590991434837,76.6587101697849,-55.547430225698776,475.52352809728006
36,1051.4007439125103,-8.166355594456292,-22.867986236563365,-126.09373225272002,2759.344128492756,18.45464721607752,395.9402216506436,17.49837852862357,55.999098368019304,50.36466450058835,448.27797292072717,29.879624251235853,12.73015397901284
37,44.285449165095486,33.38669311520401,113.6736653992603,8.434468876783583,4452.885348507967,25.522368852419504,363.37730766667033,564.5447322132167,81.34644320482582,1077.032977987301,166.4177609620256,416.40019354607756,1085.5754760039208
38,2740.913633185862,-451.9009512268428,-9.04525324496875,3.4472347260036273,1503.196387018042,380.7654152870334,-35.574597175594064,-7.2755174198918295,1070.5085769298682,-878.3443863253532,192.1302765546293,142.16849199315413,2894.130458759088
39,-2414.2493376887633,727.4614561533973,-18.545330768820435,-33.14646301572385,1328.3157474667003,615.0684967810614,83.82670738308077,263.6923806884927,532.1127310441303,542.4974132377674,130.91408955869326,-7.656856640155046,173.6500143184203
40,822.0779680754384,-89.36395156918803,29.483321801938544,-249.2933659884038,367.88789731260226,473.58940828753026,-4476.607353937704,1674.6066765378055,-25.395778175558817,-234.14822818541683,123.34451772669988,-6.7370867230395035,1840.6851547498534
41,520.0383685288393,-120.65630346573246,0.20421352760323241,-13.379820999816973,1137.1936753482419,-526.1429472455769,0.5524103478991904,63.17859641610645,863.0878879608701,11.885939485175792,251.6796757259924,-39.633651018602805,109.63697751696603
42,-526.8700834357692,-125.42039072110593,-70.9958313286601,-431.74187501430407,-270.115292044243,-765.9084418897555,-79.94357818654322,-105.31900272630077,412.9083919822243,211.68274395367592,-39.451110513598934,161.6674340025195,238.5721128850921
43,-1486.8521020486019,-179.653529676059,-11.891997628393568,-9.643463981761471,362.09990113069347,801.2100500952866,363.0717771129689,21.630555185778473,168.21923015664674,326.61234737867613,374.681555606116,-183.64825177347922,2769.0653894911193
44,-3.88510279528748,-324.2183348269453,-42.66787685795453,-31.428443119790927,1429.6493555709537,-211.9214703015699,46.542239849357614,89.00464854416416,751.1819565023197,757.8698832582904,64.99567375647199,2.2145552239998474,385.5919498448254
45,-3098.438729042103,-145.72656201319566,0.14824634550113952,-43.28009160984317,2446.001749100015,1066.7147180798204,20.01944442790551,216.77957484768004,667.4648741836056,1849.2207412880557,35.85512433065404,67.3232465904805,1817.6078241406972
46,-508.7369725581141,-878.8885962357837,-96.53091672809641,-26.572705771295702,2288.5397152331325,402.91901668367814,262.72320734757875,34.677678691288115,-29.778175901971753,26.819255977022394,53.62046990077179,68.64086523951148,-176.16822613878497
47,218.71377477516626,-92.81505284411169,-0.24543512809838314,-151.39439147261493,1587.3795644146749,-286.8167495726398,92.741843464235,2.5752684775935615,233.9292730467003,106.06892855984832,132.68381700606113,-482.7241738057715,-7.455055943186132
48,-554.5523357735357,-523.9005070790056,-107.3636586919607,-406.70735772901594,1292.611259572733,-718.0848779218475,47.83493988379738,-11.446791339042328,0.0818649254058663,-553.7895503341183,-58.48540869082516,119.87598047762542,43.15013978012059
